日	a
凡	hui
毪	huihq
臭	huik
瓜	huio
风	huk
鼬	hulw
颓	humbo
鼯	hummr
夙	humni
毽	hunkq
氇	hunwa
息	hup
飑	hupru
氆	hutta
鼻	huwml
乐	hvd
簖	hvdl
魏	hvhi
兜	hvhu
系	hvif
篆	hvno
睾	hwgtj
囟	hwk
篾	hwli
箩	hwln
箅	hwml
粤	hwmvs
囱	hwni
鄱	hwnl
翻	hwsyy
臼	hx
盥	hxbt
身	hxh
舆	hxkc
叟	hxle
歃	hxno
臾	hxo
舄	hxpf
舁	hxt
鼠	hxuyu
舅	hxwks
昝	hya
舰	hyblu
盘	hybt
艄	hyfb
舶	hyha
舨	hyhe
舴	hyhs
般	hyhue
船	hyhur
艘	hyhxe
舣	hyik
舵	hyjp
舯	hyl
螽	hylii
舳	hylw
舡	hym
舾	hymcw
舸	hymnr
艋	hyndt
艇	hynkg
舱	hyosu
舭	hypp
咎	hyr
篙	hyrb
艉	hyshu
簇	hysk
笠	hyt
艨	hytbo
艏	hythu
艚	hytwa
舢	hyu
篱	hyub
舫	hyyhs
航	hyyhu
舻	hyys
艟	hyytg
舷	hyyvi
戈	i
良	iav
能	ibpp
翩	ibsyy
术	id
麻	idd
糜	iddd
縻	iddf
麽	iddi
摩	iddq
磨	iddr
麾	iddu
靡	iddy
书	ids
昶	iea
皴	iedhe
救	ieok
裘	ieyhv
视	ifblu
祖	ifbm
禅	ifcwj
社	ifg
祛	ifgi
禧	ifgrr
祆	ifhk
祈	ifhml
祗	ifhpm
祚	ifhs
祓	ifike
祜	ifjr
神	iflwl
祧	iflyo
应	ifm
福	ifmrw
祢	ifnf
祁	ifnl
禄	ifnme
鹧	ifpsm
禊	ifqhk
祷	ifqki
祝	ifrhu
祸	ifrob
祀	ifru
蹙	ifryo
祠	ifsmr
禚	iftgf
祺	iftmc
祥	iftq
礼	ifu
祯	ifybo
祉	ifylm
禳	ifyrv
庄	ig
戊	ih
庳	ihhj
毵	ihhqu
戍	ihi
戌	ihm
咸	ihmr
威	ihmv
底	ihpm
牟	ihq
成	ihs
臧	ihsll
允	ihu
庾	ihxo
戚	ihymf
朗	iib
垒	iiig
廊	iiil
庞	iikp
郎	iinl
庐	iis
废	iive
戎	ij
甫	ijb
求	ije
犬	ik
参	ikhhh
飙	ikhuk
肇	iklq
庵	iklu
叁	ikmmm
龙	ikp
库	ikq
为	iksi
尤	iku
綮	ikvif
畚	ikw
庸	ilb
康	ile
州	ilil
划	iln
庚	ilo
赓	iloo
唐	ilr
庙	ilw
戋	im
盏	imbt
庑	imku
惑	imp
廨	inbq
永	ine
序	inin
庭	inkg
邝	inl
之	ino
暹	ioaog
遏	ioapv
遢	ioasy
退	ioav
邈	iobhu
遥	iobou
迥	iobr
递	iocnh
庥	iod
过	iodi
速	iodl
逍	iofb
迷	iofd
遴	iofdq
膺	iogb
逵	iogcg
鹰	iogm
迫	ioha
遑	iohag
透	iohds
逶	iohdv
返	iohe
逢	iohej
逄	ioheq
造	iohgr
选	iohgu
遛	iohhw
迁	iohj
适	iohjr
遁	iohju
近	iohml
逅	iohmr
迭	iohqo
追	iohrr
迮	iohs
邀	iohsk
迎	iohul
腐	ioib
逡	ioice
述	ioid
逋	ioijb
逑	ioije
迨	ioir
遍	ioisb
遮	ioitf
邃	iojco
逭	iojrr
矣	iok
逖	iokhf
逛	iokhg
连	iokq
边	ioks
迦	ioksr
逮	iole
遗	iolmo
遣	iolmr
迪	iolw
逃	iolyo
逦	iombb
迂	iomd
还	iomf
迈	iomhs
运	iommi
远	iommu
逐	iompo
逗	iomrt
逼	iomrw
迓	iomvh
邂	ionbq
逊	iondf
迩	ionf
通	ionib
迅	ionju
逯	ionme
辽	ionn
迳	ionom
逸	ionui
座	ioog
迕	iooj
途	ioomd
逾	ioomn
迄	ioonu
迤	ioopd
逝	ioqhl
违	ioqs
遨	ioqsk
逞	iormg
遐	iorye
迢	ioshr
迟	ioso
避	iosrj
遒	iotcw
道	iothu
送	iotk
遂	iotpo
进	iott
遘	iottb
逆	iotu
遭	iotwa
遵	iotwi
遄	ioumb
邋	iovvu
巡	iovvv
遇	iowlb
逻	iowln
这	ioyk
迹	ioylc
遽	ioypo
弋	ip
鏖	ipc
熊	ipf
麋	ipfd
麟	ipfdq
垄	ipg
麇	iphd
麝	iphhi
麂	iphu
式	ipm
砻	ipmhr
贰	ipmmo
庇	ipp
鸢	ippsm
庖	ipru
聋	ipsj
龚	iptc
甙	iptm
麒	iptmc
麈	ipyg
袭	ipyhv
廒	iqsk
台	ir
炱	irf
或	irm
感	irp
户	is
肩	isb
扃	isbr
扁	isbt
戾	isik
扉	islmy
雇	isog
敷	isok
启	isr
扈	israu
扇	issyy
廖	isyh
房	isyhs
戽	isyj
戒	it
度	ite
庶	itf
席	itlb
廑	itlm
庠	itq
庹	itso
廉	itxc
讠	iu
谒	iuapv
谩	iuawe
调	iubgr
诨	iubkq
诅	iubm
谖	iubme
谣	iubou
讼	iuci
说	iucru
讨	iudi
诀	iudk
谏	iudwf
译	iueq
诮	iufb
谠	iufbu
谈	iuff
诗	iugdi
诖	iugg
诘	iugr
诱	iuhds
诿	iuhdv
诰	iuhgr
诜	iuhgu
谢	iuhhi
诛	iuhjd
话	iuhjr
诟	iuhmr
诉	iuhmy
诋	iuhpm
诈	iuhs
讥	iuhu
设	iuhue
讽	iuhuk
谀	iuhxo
诚	iuihs
议	iuik
谜	iuiod
诶	iuiok
谴	iuior
试	iuipm
诒	iuir
谝	iuisb
诫	iuit
计	iuj
谳	iujbk
谊	iujbm
诧	iujhp
诸	iujka
读	iujnk
诂	iujr
诙	iukf
诳	iukhg
训	iulll
诽	iulmy
谰	iulsw
讧	ium
评	iumfj
讦	iumj
语	iummr
订	iumn
诃	iumnr
诬	iumoo
诼	iumpo
谮	iumua
讶	iumvh
谭	iumwj
证	iumym
谵	iuncr
谲	iunhb
谄	iunhx
诵	iunib
讯	iunju
诞	iunkm
诡	iunmu
诤	iunsd
诌	iunsm
谗	iunuy
认	iuo
讷	iuob
谁	iuog
谯	iuogf
诊	iuohh
谶	iuoim
谂	iuoip
许	iuoj
诠	iuomg
谕	iuomn
讫	iuonu
论	iuop
诲	iuowy
询	iupa
谧	iupht
谐	iuppa
谍	iuptd
诔	iuqd
请	iuqmb
讳	iuqs
识	iurc
误	iurmk
谔	iurrs
诏	iushr
诹	iusje
讴	iusk
诓	iusmg
词	iusmr
讵	iuss
记	iusu
谬	iusyh
诩	iusyy
谟	iutak
谫	iutbh
谥	iutct
诺	iutkr
谨	iutlm
谋	iutmd
谌	iutmv
详	iutq
讲	iutt
谱	iutta
谦	iutxc
谎	iutyu
讪	iuu
诎	iuuu
谓	iuwb
谡	iuwce
课	iuwd
讣	iuy
谛	iuybb
谤	iuybs
谪	iuycb
谚	iuyhh
访	iuyhs
让	iuym
谇	iuyoj
谘	iuyor
谑	iuypm
谆	iuyrd
谅	iuyrf
谙	iuyta
该	iuyvo
发	ivke
廛	iwcg
鹿	ixp
疒	iy
瘟	iyabt
疸	iyam
疤	iyau
痕	iyav
疽	iybm
瘵	iybof
瘿	iybov
痈	iybq
癯	iybug
瘅	iycwj
疲	iydhe
廓	iydl
瘌	iydln
癞	iydlo
痧	iyefh
瘙	iyeii
瘫	iyeog
瘠	iyfcb
瘘	iyfdv
痰	iyff
痔	iygdi
痣	iygp
痢	iyhdn
痿	iyhdv
疼	iyhey
瘤	iyhhw
痄	iyhs
疫	iyhue
疯	iyhuk
瘪	iyhup
瘦	iyhxe
瘐	iyhxo
瘢	iyhye
疣	iyiku
癫	iyjco
痍	iykn
瘸	iykrb
痂	iyksr
瘗	iyktg
痱	iylmy
痫	iylsd
痞	iymfr
癍	iymgg
疠	iymhs
疬	iymks
痖	iymlt
痦	iymmr
疔	iymn
疴	iymnr
病	iymob
瘃	iympo
痘	iymrt
瘭	iymwf
症	iymym
痪	iynbk
痛	iynib
癃	iynlm
瘾	iynlp
癣	iynmq
疗	iynn
疚	iyno
痉	iynom
疡	iynsh
疹	iyohh
疾	iyok
痴	iyokr
疥	iyoll
痊	iyomg
瘊	iyonk
疙	iyonu
痤	iyoog
疮	iyosu
疱	iypru
瘛	iyqhp
店	iyr
癌	iyrru
瘕	iyrye
癜	iysce
疖	iysl
疟	iysm
癖	iysrj
瘳	iysyh
瘼	iytak
痨	iytbs
癀	iytlc
疳	iytm
瘩	iytor
痒	iytq
瘥	iytqm
疝	iyu
廪	iywf
痼	iywjr
痹	iywml
瘰	iywvf
疰	iyyg
疵	iyymp
瘁	iyyoj
瘀	iyysy
瘴	iyytj
癔	iyytp
痃	iyyvi
十	j
煮	jaf
都	janl
翥	jasyy
宴	jav
赍	jbbo
献	jbik
宜	jbm
真	jbmc
直	jbmm
橐	jbmrd
蠹	jbmri
孛	jbnd
察	jbof
囊	jbrrv
南	jbtj
索	jbvif
穴	jc
窭	jcfdv
窖	jchgr
窆	jchio
窳	jchoo
窄	jchs
窗	jchwn
突	jcik
窦	jcjnk
穷	jcks
究	jcku
帘	jclb
窜	jcll
窕	jclyo
空	jcm
颠	jcmbo
窒	jcmig
窍	jcmms
穿	jcmvh
穹	jcn
穸	jcni
窿	jcnlm
窑	jcoju
窬	jcomn
容	jcor
窃	jcpsh
窀	jcpu
窥	jcqou
窝	jcrob
窘	jcskr
窟	jcsuu
窈	jcvis
窠	jcwd
窨	jcyta
未	jd
守	jdi
勃	jdks
教	jdok
鹁	jdpsm
支	je
墼	jeg
翅	jesyy
灾	jf
宵	jfb
客	jher
宪	jhgu
宅	jhp
牢	jhq
博	jibi
栽	jid
宠	jikp
载	jikq
截	jiog
惠	jip
哉	jir
戴	jiwtc
裁	jiyhv
朝	jjb
戟	jji
乾	jjonu
翰	jjosy
斡	jjoyj
韩	jjqs
軎	jjr
丈	jk
者	jka
宥	jkb
觌	jkblu
寮	jkcf
宏	jki
寄	jkmr
嫠	jkmv
孝	jknd
老	jkp
协	jksc
宄	jku
考	jkys
吏	jlk
事	jlln
妻	jlv
宙	jlw
审	jlwl
士	jm
宣	jmam
寡	jmch
宇	jmd
宝	jmgi
宕	jmhr
室	jmig
矗	jmjmm
寅	jmlc
宗	jmmf
完	jmmu
宸	jmmv
宁	jmn
家	jmpo
富	jmrw
寇	jmue
定	jmyo
字	jnd
宛	jniu
麴	jnpfd
卖	jnyk
宿	joma
宾	jomc
它	jp
耆	jpa
甯	jpbq
宓	jph
蜜	jphi
耄	jphqu
密	jphu
尧	jpmhu
耋	jpmig
害	jqmr
古	jr
胡	jrb
鹕	jrbpm
豁	jrcor
克	jrhu
割	jrln
官	jrlr
额	jrmbo
故	jrok
鸪	jrpsm
宫	jrr
嘏	jrrye
辜	jrytj
宦	jsll
寥	jsyh
卉	jt
寞	jtak
贲	jtbo
宽	jtbu
寨	jtcd
塞	jtcg
骞	jtcm
赛	jtco
搴	jtcq
謇	jtcr
褰	jtcv
寒	jtcy
七	ju
兢	jujru
翘	jusyy
安	jv
案	jvd
寐	jvhd
寤	jvhr
寓	jwlb
寰	jwlv
寂	jyfe
实	jyk
寝	jyle
宰	jytj
大	k
有	ka
橥	kad
有	kb
盎	kbbt
牵	kbhq
郗	kbnl
欷	kbno
鸯	kbpsm
东	kd
夺	kdi
弑	kdipm
刹	kdln
鸫	kdpsm
友	ke
灰	kf
盔	kfbt
鹩	kfpsm
奎	kgg
猖	khaa
猩	khahm
猸	khahu
狠	khav
猾	khbbb
狙	khbm
狈	khbo
猹	khdam
獭	khdlo
狄	khf
猿	khgrv
猁	khhdn
獯	khhgf
狐	khhuo
猊	khhxu
犷	khi
狼	khiav
狻	khice
狁	khihu
狨	khij
犹	khiku
狱	khiuk
狩	khjdi
猪	khjka
狞	khjmn
猢	khjrb
獠	khkcf
猗	khkmr
狭	khkt
犰	khku
狮	khllb
狒	khlln
独	khlmi
狂	khmg
犴	khmj
獗	khmto
獬	khnbq
狲	khndf
猛	khndt
狃	khng
猱	khnhd
猕	khnnf
狰	khnsd
狳	khomd
狯	khomi
猃	khomm
猞	khomr
猴	khonk
狴	khppg
狗	khpr
狍	khpru
猜	khqmb
狷	khrb
犸	khssm
犯	khsu
猎	khta
獾	khtrg
猫	khtw
猬	khwb
猓	khwd
狸	khwg
狎	khwl
猡	khwln
猥	khwmv
狡	khyck
狺	khymr
猝	khyoj
獐	khytj
獍	khytu
太	ki
健	kin
郄	kinl
雄	kiog
态	kip
奢	kjka
奔	kjt
爻	kk
肴	kkb
爽	kkkk
希	kklb
夯	kks
暂	kla
布	klb
錾	klc
椠	kld
在	klg
夼	klll
刈	kln
存	klnd
奄	klwu
左	km
奈	kmmf
夸	kmms
奇	kmnr
夷	kn
车	kq
辊	kqapp
辋	kqbtv
轰	kqee
辍	kqeee
辚	kqfdq
辕	kqgrv
辂	kqher
轷	kqhfd
轿	kqhkl
斩	kqhml
轶	kqhqo
轹	kqhvd
辅	kqijb
轼	kqipm
辘	kqixp
辖	kqjqr
轱	kqjr
轨	kqku
轴	kqlw
轾	kqmig
轩	kqmj
轲	kqmnr
辆	kqmob
辐	kqmrw
轭	kqmsu
软	kqno
轻	kqnom
轸	kqohh
辁	kqomg
输	kqomn
轮	kqop
辏	kqqkk
转	kqqni
轵	kqrc
辑	kqrsj
轫	kqshi
轺	kqshr
辄	kqsju
辗	kqstv
轧	kqu
辎	kqvvw
辙	kqybk
较	kqyck
轳	kqys
右	kr
贺	krbo
架	krd
剞	krln
哿	krmnr
欹	krno
驾	krssm
袈	kryhv
力	ks
办	ksc
瓠	kshuo
耷	ksj
奁	ksk
刳	ksln
套	ksmi
匏	kspru
加	ksr
勰	kswp
夹	kt
颊	ktmbo
郏	ktnl
九	ku
旭	kua
杂	kud
丸	kui
尴	kulit
尬	kuoll
尥	kupi
鹌	kupsm
馗	kuthu
奋	kw
中	l
旧	la
权	lai
巾	lb
冖	zzzz
帽	lbabu
幌	lbafu
幔	lbawe
帔	lbdhe
帕	lbha
幡	lbhdw
帙	lbhqo
帆	lbhui
黼	lbijb
黻	lbike
幞	lbllo
幅	lbmrw
帷	lbog
帐	lbpo
帱	lbqki
帻	lbqmo
帏	lbqs
帜	lbrc
幄	lbsmg
盅	lbt
帼	lbwmg
帧	lbybo
帖	lbyr
幢	lbytg
幛	lbytj
鹇	ldpsm
隶	le
肾	leb
贤	lebo
版	lee
坚	leg
紧	levif
竖	leyt
蜴	liaph
蝎	liapv
螟	libac
蜩	libgr
览	liblu
蛆	libm
蜉	libnd
监	libt
蠼	libue
鉴	lic
蚣	lici
蜕	licru
蝉	licwj
蜥	lidhl
蛏	lieg
蛸	lifb
螳	lifbg
蝼	lifdv
蜷	lifqu
蚺	ligb
蛙	ligg
蟛	ligth
蝗	lihag
蝌	lihdj
蜊	lihdn
蟋	lihdp
蟠	lihdw
蜂	lihej
蜱	lihhj
蛛	lihjd
蛞	lihjr
蛾	lihqi
蚝	lihqu
蚱	lihs
虮	lihu
螅	lihup
螋	lihxe
蛑	liihq
螂	liiil
蚁	liik
螗	liilr
蜮	liirm
蝙	liisb
蠊	liitc
蝻	lijbj
蟪	lijip
蜿	lijnu
蛇	lijp
蛲	lijpu
蛄	lijr
蝴	lijrb
蝰	likgg
蛱	likt
蛳	lillb
蚰	lilw
虹	lim
蠕	limbb
螈	limhf
蛭	limig
蛎	limms
蚵	limnr
蝠	limrw
蚜	limvh
螵	limwf
虾	limy
蟓	linao
蟾	lincr
蜢	lindt
蛹	linib
蜓	linkg
蜒	linkm
蚓	linl
蝮	lioae
蚋	liob
蛉	lioii
蜘	liokr
蚧	lioll
蚯	liom
蜍	liomd
蝓	liomn
蛤	liomr
虼	lionu
蚍	lipp
蝶	liptd
蚌	liqj
蝽	liqka
螓	liqkd
蜻	liqmb
蚨	liqo
蝇	lirlu
蜈	lirmk
蜗	lirob
蚂	lissm
蜡	lita
蟆	litak
蝾	litbd
蠓	litbo
蝤	litcw
蜣	litgu
蟒	litit
螨	litlb
蟥	litlc
蚶	litm
蜞	litmc
蠖	litoe
蛘	litq
蟮	littr
蛐	litw
螬	litwa
蠛	litwi
廖	liu
虬	zzzz
蚴	livis
蜾	liwd
蝈	liwmg
蛔	liwr
螺	liwvf
螃	liybs
蛟	liyck
蛀	liyg
蚪	liyj
蚊	liyk
蛴	liykl
蝣	liysd
蟑	liytj
螭	liyub
虻	liyv
蟀	liyyj
史	lk
串	ll
版	llhe
牌	llhhj
牖	llisb
牍	lljnk
川	lll
帅	lllb
顺	lllo
师	llmb
片	llml
弗	lln
畅	llnsh
临	lloa
患	llp
牒	llptd
归	llsm
业	llt
黹	lltb
凿	lltu
贵	lmbo
虫	lmi
韭	lmmm
北	lmp
邶	lmpnl
芈	lmyq
非	lmyyy
费	lnbo
艴	lnnau
鼗	logte
忠	lp
背	lpb
冀	lpwtc
聿	lq
门	ls
间	lsa
阊	lsaa
阌	lsbbe
阒	lsbuk
阅	lscru
阐	lscwj
闲	lsd
闭	lsdh
阑	lsdw
阔	lsehr
闺	lsgg
阖	lsgit
阁	lsher
阍	lshpa
阋	lshxu
阆	lsiav
闼	lsiok
阈	lsirm
阗	lsjbc
闳	lski
阉	lsklu
闽	lslmi
闩	lsm
闰	lsmg
闫	lsmmm
阎	lsnhx
阚	lsnjk
阕	lsnok
阄	lsnwu
闪	lso
阀	lsoi
闷	lsp
闱	lsqs
问	lsr
闾	lsrr
闻	lssj
闯	lsssm
阙	lstuo
阃	lswd
闸	lswl
闶	lsyhu
闵	lsyk
闹	lsylb
阏	lsysy
阂	lsyvo
邺	ltnl
儿	lu
鸩	lupsm
胤	lvbu
由	lw
胄	lwb
申	lwl
邮	lwnl
曳	lwp
电	lwu
肃	lx
辈	lykq
蜚	lylmi
悲	lyp
翡	lysyy
兆	lyuo
裴	lyyhv
斐	lyyk
一	m
戬	mai
厩	maiu
亘	mam
碧	mamhr
厚	mand
霾	mbbhg
霜	mbdbu
霖	mbdd
耐	mbdi
霪	mbebg
霈	mbejb
霄	mbfb
雾	mbhes
霓	mbhxu
丽	mbib
霭	mbiuv
融	mblmi
霏	mblmy
颥	mbmbo
需	mbmhb
雳	mbmks
雩	mbmms
震	mbmmv
霆	mbnkg
邴	mbnl
页	mbo
霍	mbog
零	mboii
厕	mbon
霉	mbowy
恧	mbp
雹	mbpru
鹂	mbpsm
露	mbrmr
霞	mbrye
雪	mbsm
霹	mbsrj
翮	mbsyy
霰	mbtbk
霸	mbtjb
耍	mbv
雷	mbw
雯	mbyk
霁	mbykl
霎	mbytv
西	mcw
酉	mcwm
于	md
盂	mdbt
厢	mdbu
五	mdm
汞	me
亟	mem
不	mf
甭	mfbq
飘	mfhuk
瓢	mfhuo
平	mfj
剽	mfln
丕	mfm
歪	mfmym
鄢	mfnl
愿	mfp
否	mfr
孬	mfvnd
王	mg
瑁	mgabu
琨	mgapp
琶	mgau
再	mgb
瑷	mgbbe
珊	mgbbm
琛	mgbcd
珲	mgbkq
现	mgblu
瑗	mgbme
瑶	mgbou
璎	mgbov
玢	mgcsh
琳	mgdd
玻	mgdhe
琐	mgfbo
琰	mgff
珐	mggi
珀	mgha
珞	mgher
瑰	mghi
珠	mghjd
珩	mghon
玑	mghu
瓒	mghuo
璁	mghwp
玉	mgi
琅	mgiav
球	mgije
珑	mgikp
班	mgilg
瑭	mgilr
琏	mgioq
琮	mgjmf
琬	mgjnu
瑚	mgjrb
琦	mgkmr
珈	mgksr
璞	mgllo
到	mgln
珧	mglyo
顼	mgmbo
环	mgmf
珏	mgmgi
琊	mgmhl
玩	mgmmu
玎	mgmn
珂	mgmnr
琢	mgmpo
甄	mgmuu
鄄	mgnl
玖	mgno
珍	mgohh
玲	mgoii
琴	mgoin
玳	mgoip
致	mgok
瑜	mgomn
瑟	mgph
臻	mgqkd
玮	mgqs
璐	mgrmr
珉	mgrup
瑕	mgrye
珥	mgsj
琚	mgsjr
玛	mgssm
弄	mgt
珙	mgtc
瑛	mgtkb
璜	mgtlc
瑾	mgtlm
琪	mgtmc
瑞	mgumb
璀	mguog
瑙	mgvvw
理	mgwg
璨	mgyed
琉	mgyiu
玟	mgyk
斑	mgykg
璩	mgypo
琥	mgypu
玷	mgyr
琼	mgyrf
璇	mgyso
璋	mgytj
璃	mgyub
厂	mh
百	mha
原	mhaf
而	mhbl
邪	mhnl
雅	mhog
餮	mhoiv
鸦	mhpsm
石	mhr
万	mhs
兀	mhu
巩	mhui
面	mhwl
拷	mie
至	mig
魂	mihi
厌	mik
魇	miki
厣	mikl
动	miks
餍	mikv
靥	mikw
干	mj
刊	mjln
顸	mjmbo
邗	mjnl
天	mk
蚕	mklmi
忝	mkp
厍	mkq
历	mks
无	mku
雨	mlby
丌	mll
严	mllh
亚	mllt
工	mlm
更	mlwk
二	mm
项	mmbo
示	mmf
厉	mmhs
元	mmhu
云	mmi
亓	mmll
三	mmm
辱	mmmi
唇	mmmr
辰	mmmv
亍	mmn
邳	mmnl
政	mmok
鹉	mmpsm
吾	mmr
厨	mmti
厦	mmue
鼋	mmuu
巧	mmvs
丁	mn
殂	mnbm
殍	mnbnd
殚	mncwj
烈	mnf
型	mng
殪	mngbt
歼	mnhj
殊	mnhjd
殁	mnhue
歹	mni
残	mnim
殆	mnir
殖	mnjbm
殡	mnjoc
殃	mnkb
邛	mnl
列	mnln
顶	mnmbo
殛	mnmem
殄	mnohh
殓	mnomm
殇	mnonh
死	mnp
殉	mnpa
可	mnr
殒	mnrbo
裂	mnyhv
仄	mo
丙	mob
觋	moblu
燹	mof
赝	mogo
攻	mok
劂	moln
巫	moo
两	moob
雁	moog
豕	mpho
武	mpylm
碍	mrami
碣	mrapv
硼	mrbb
碉	mrbgr
鬲	mrbl
砚	mrblu
硐	mrbmr
碴	mrdam
破	mrdhe
泵	mre
磉	mreed
磲	mresd
硝	mrfb
磷	mrfdq
砂	mrfh
硅	mrgg
砝	mrgi
磕	mrgit
硌	mrher
碑	mrhhj
砭	mrhio
斫	mrhml
砥	mrhpm
硪	mrhqi
砟	mrhs
矶	mrhu
矾	mrhui
砜	mrhuk
砾	mrhvd
硇	mrhwk
矿	mri
碱	mrihr
碜	mrikh
碥	mrisb
碹	mrjmm
碇	mrjmo
碗	mrjnu
砣	mrjp
硗	mrjpu
砗	mrkq
硖	mrkt
砩	mrlln
砷	mrlwl
硕	mrmbo
硒	mrmcw
砰	mrmfj
矸	mrmj
硬	mrmlk
砺	mrmms
磊	mrmrr
研	mrmt
硎	mrmtn
砑	mrmvh
礓	mrmwm
确	mrnbq
矽	mrni
碌	mrnme
砍	mrno
磴	mrnot
磔	mrnqd
哥	mrnr
砀	mrnsh
碓	mrog
礁	mrogf
砼	mrom
硷	mromm
砒	mrpp
砌	mrpsh
碟	mrptd
砘	mrpu
碛	mrqmo
碡	mrqmy
砖	mrqni
噩	mrrg
砸	mrslb
码	mrssm
碾	mrstv
豆	mrt
碘	mrtbc
礤	mrtbf
礞	mrtbo
礴	mrtei
砹	mrtk
磺	mrtlc
碰	mrtlt
磋	mrtqm
磁	mrtvi
硭	mrtyv
碳	mrukf
础	mruu
碲	mrybb
磅	mrybs
磙	mrycv
礅	mrydk
硫	mryiu
碎	mryoj
砧	mryr
砬	mryt
碚	mrytr
励	msks
虿	mslmi
趸	msryo
厄	msu
开	mt
晋	mta
厮	mtcl
垩	mtg
形	mthhh
豉	mtje
豌	mtjnu
刑	mtln
豇	mtm
邢	mtnl
恶	mtp
厥	mtuo
銎	muc
夏	muhe
戛	mui
蛩	mulmi
顽	mumbo
瓦	munu
恐	mup
跫	muryo
画	muw
牙	mvdh
互	mvnm
醒	mwahm
覃	mwaj
醍	mwamo
醌	mwapp
酹	mwbdi
酮	mwbmr
贾	mwbo
酚	mwcsh
栗	mwd
酎	mwdi
粟	mwfd
厘	mwg
酥	mwhd
酪	mwher
醺	mwhgf
酷	mwhgr
酰	mwhgu
覆	mwhoe
酢	mwhs
酿	mwiav
酸	mwice
酬	mwill
醣	mwilr
醚	mwiod
酵	mwjkd
酡	mwjp
酤	mwjr
醐	mwjrb
酞	mwki
醢	mwkrt
醭	mwllo
副	mwln
酾	mwmbb
酐	mwmj
酽	mwmlh
票	mwmmf
酝	mwmmi
酊	mwmn
酩	mwnir
醑	mwnob
醮	mwogf
酴	mwomd
酶	mwowy
酯	mwpa
酏	mwpd
酌	mwpi
酲	mwrmg
配	mwsu
醪	mwsyh
醋	mwta
酣	mwtm
醛	mwtog
醴	mwtwt
酗	mwuk
要	mwv
醉	mwyoj
醵	mwypo
醇	mwyrd
醅	mwytr
醯	mwyut
下	my
焉	mylf
正	mylm
忑	myp
丐	myvs
弓	n
免	nahu
象	napo
色	nau
觯	nbcwj
觖	nbdk
觫	nbdl
觥	nbfmu
堕	nbg
觚	nbhuo
奂	nbk
勇	nbks
触	nblmi
负	nbo
觞	nbonh
隳	nbop
恿	nbp
鹬	nbpsm
角	nbq
解	nbshq
斛	nbyj
小	nc
弹	ncwj
詹	ncymr
子	nd
孟	ndbt
孙	ndf
孤	ndhuo
孺	ndmbb
孜	ndok
孢	ndpru
孔	ndu
孩	ndyvo
剥	neln
丞	nem
卺	nemsu
尔	nf
粥	nfdn
玺	nfmgi
丑	ng
疆	ngmwm
柔	nhd
及	nhe
蟊	nhlii
矜	nhoin
乃	nhs
骘	nhssm
弧	nhuo
夕	ni
甬	nibq
犟	nihq
夤	nijmc
矛	ninh
多	nini
予	ninn
飧	nioiv
舛	niq
名	nir
外	niy
敢	njok
又	nk
廴	zzzz
瞀	nkbu
鍪	nkc
煞	nkf
廷	nkhg
延	nkhym
蝥	nklmi
建	nklq
憨	nkp
鹜	nkpsm
骛	nkssm
婺	nkv
引	nl
阝	zzzz
阳	nla
陧	nlag
限	nlav
隰	nlavf
阴	nlb
阻	nlbm
陂	nldhe
隙	nlfaf
陵	nlgce
陡	nlgyo
隍	nlhag
阪	nlhe
隆	nlhem
降	nlheq
陴	nlhhj
隗	nlhi
阡	nlhj
陲	nlhjm
阼	nlhs
陇	nlikp
随	nliob
隧	nlioo
院	nljmu
陀	nljp
陈	nlkd
隋	nlkmb
阵	nlkq
陕	nlkt
陋	nlmbv
陌	nlmha
阢	nlmhu
际	nlmmf
阮	nlmmu
阿	nlmnr
隔	nlmrb
陷	nlnhx
陉	nlnom
隐	nlnsp
队	nlo
附	nlodi
阶	nloll
除	nlomd
险	nlomm
陶	nlpou
陛	nlppg
陆	nlqu
陨	nlrbo
陬	nlsje
隘	nltct
阱	nltt
隅	nlwlb
隈	nlwmv
防	nlyhs
陟	nlylh
阽	nlyr
障	nlytj
陪	nlytr
陔	nlyvo
鲳	nmaa
鲥	nmadi
鲫	nmail
弼	nman
鲲	nmapp
鳎	nmasy
鳗	nmawe
鲷	nmbgr
鳐	nmbou
鳋	nmeii
鳞	nmfdq
鲮	nmgce
鲑	nmgg
鲒	nmgr
鳇	nmhag
稣	nmhd
鳅	nmhdf
鲦	nmhed
鲧	nmhvf
鲵	nmhxu
鲅	nmike
鱿	nmiku
鳙	nmilb
鲢	nmioq
鲐	nmir
鳊	nmisb
鲩	nmjmu
鳍	nmjpa
鲼	nmjto
鲔	nmkb
劲	nmks
鲣	nmleg
鲱	nmlmy
刭	nmln
鲡	nmmbb
鳕	nmmbm
颈	nmmbo
录	nmme
鲆	nmmfj
鲕	nmmhb
鲠	nmmlk
鳜	nmmto
鳔	nmmwf
鳆	nmoae
鲋	nmodi
鲶	nmoip
鲍	nmpru
鲽	nmptd
鲭	nmqmb
鳄	nmrrs
鲰	nmsje
鲟	nmsmi
危	nmsu
鳓	nmtjs
鲜	nmtq
鳝	nmttr
鳟	nmtwi
鳢	nmtwt
鲻	nmvvw
鲤	nmwg
鲴	nmwjr
鳏	nmwlf
鳃	nmwp
鲛	nmyck
鲂	nmyhs
疏	nmyiu
鲚	nmykl
