cin1cau1    千秋
cing1bei1bei1 青悲悲
cing1bik1bik1 青碧碧
cing1doi6   清代
cing1gwaa1  青瓜
cing1ziu1   青椒
cit3ci2     切齒
cit3ci2ham4nou6 切齒含怒
ciu4man4    潮文
co4daai6dei6 鋤大地
coeng4hei3  長氣
coeng4laai1laai1 長拉拉
coi4ngai6   才藝
cou2joek6   草藥
cou2lung4   草龍
cuk1cuk1    齪齪
cuk1sing4   束成
cung4cung4  重重
cung4cung4daap6daap6 重重沓沓
cung4cung4daap6daap6 重重遝遝
cung4jau5   重有
cung4ngaau5 蟲咬
cung4ngaau5syu2jit6 蟲咬鼠齧
cyun3gung1  串供
cyun3gung1loeng6ci4 串供量詞
cyun3lyun4  串聯
cyun3tung1  串通
cyun4fu1    傳呼
cyun4fu1gei1 傳呼機
daa2cuk1    打齪
daa2gaau1   打交
daa2jat1haa5 打一下
daai6dei6   大地
daai6mou6   大帽
daai6san4   大臣
daai6tau4   大頭
daam6daam6dou3juk6 啖啖到肉
daan1ce1    單車
daan1wai6   單位
daan6faan4  但凡
daan6jyun4  彈丸
daap6seoi2  遝水
dai6ji6     第二
dai6ji6wai6 第二位
dak1baa2hau2 得把口
dak1baa2sing1 得把聲
dak1baa2zeoi2 得把嘴
dak1dim1    得掂
dak1paang4ngaa4 得棚牙
dat6ceot1   突出
dei6gung1   地宮
dei6zi1     地支
deoi3jing3  對應
dik1dik1    滴滴
dim2dim2    點點
dim2gaai2   點解
dim2hang4   點行
dim2joeng6  點樣
dim2se2     點寫
dim2zi1     點知
din2cong4   典床
din2cong4din2zik6 典床典蓆
din2dei6saa1 典地沙
din2zik6    典蓆
din6ce1     電車
din6daan1ce1 電單車
din6faan6bou1 電飯煲
din6faat3   電發
din6nou5    電腦
din6paa4    電扒
din6sam1    電心
din6zai3    電掣
ding1cau2   丁丑
ding1dang2  丁等
ding1hoi6   丁亥
ding1jau5   丁酉
ding1maau5  丁卯
ding1mei6   丁未
ding1zi6    丁巳
ding2geng2  頂頸
ding2lung4  頂櫳
ding2nei5go3fai3 頂你個肺
ding2sam1caam3 頂心杉
ding2sam1saam3 頂心杉
ding2wu4    鼎湖
ding2wu4soeng6sou3hou2zaai1 鼎湖上素好齋
ding2zyu6   頂住
ding2zyu6tiu4hei3 頂住條氣
diu1diu6    丟掉
diu1haa6    丟下
diu1hei3    丟棄
diu3jyu4    釣魚
diu3jyu4toi4 釣魚臺
do1ci2jat1geoi2 多此一舉
do1haau1jyu4 多尻餘
do1jat1     多一
do1jyu4     多餘
dou1mou4    都無
dou1mou5    都冇
dou1zai2    刀仔
dou3diu3    倒吊
dou3diu3ho4baau1 倒吊荷包
dou3gwaa3   倒掛
dou3gwaa3laap6aap3 倒掛臘鴨
dou3gwaa3laap6aap3jau4zeoi2waat6sit6 倒掛臘鴨油嘴滑舌
dou3gwaa3laap6ngaap3 倒掛臘鴨
dou3gwaa3laap6ngaap3jau4zeoi2waat6sit6 倒掛臘鴨油嘴滑舌
dou3lou5    到老
duk6jam1    讀音
dung3can1   凍親
dung6mat6   動物
dung6zok3   動作
dyun2coeng4 短牆
faan2bei2   返畀
faan2bei3   返畀
faan2ciu4   返潮
faan2ciu4waa6mui4jau6haam4jau6sap1 返潮話梅又鹹又溼
faan2ciu4waa6mui4jau6haam4jau6sap1 返潮話梅又鹹又濕
faan2co1    反芻
faan2co1wai6 反芻胃
faan2gung1  返工
faan2lai4   返來
faan2loi4   返來
faan2wai6   反胃
faan3zi2    泛指
faan4si6lam4 凡士林
faan6caan2tau4 飯鏟頭
faan6goi3   飯蓋
faan6hap6   飯盒
faat3din6   發電
fan1cuk1    分束
fan1wan4    紛云
fan1wan4    紛紜
fat6ham1    佛龕
fei1faat3   飛發
fei1gei1    飛機
fei1gei1daa2gaau1 飛機打交
fei1gei1daa2gaau1gou1dau3 飛機打交高鬥
fei1gei1fo2zuk1siu1wan4 飛機火燭燒雲
fei1gei1fo2zuk1siu1wan4 飛機火足燒雲
fei1gei1soeng6fong3pei3hoeng2dik1hoi1 飛機上放屁響的開
fei1lung4   飛龍
fei1neoi5   飛女
fei1si6     飛士
fei1soeng4  非常
fei1soeng4zi1 非常之
fei1syu2    飛鼠
fei1zai2    飛仔
fei1zau1    非洲
fei1zau1wo4soeng6hat1jan4zang1 非洲和尚乞人憎
fo2baa2     火把
fo2hei3     火氣
fo2zai6zyu1 火齊珠
fo2zuk1     火燭
fong1ling4  芳齡
fong3gwong1 放光
fong3pei3   放屁
fong3sam1   放心
fu1gei1     呼機
fu2gwai2    簠簋
fu3long6    褲浪
fu6bing2    付丙
fu6gaai1    仆街
fun1sam1    寬心
