a 亜
nabe 鍋
nae 苗
nagi 凪
nagi 梛
nagisa 汀
nagisa 渚
nai 内
naka 中
naka 仲
nama 生
namakura 鈍
namari 訛
namari 鉛
namasu 膾
namazu 癜
namazu 鯰
nami 並
nami 波
namida 涙
nan 南
nan 男
nan 納
nan 軟
nan 難
nana 七
nani 何
nanigashi 某
nanigasi 某
nanji 汝
nanji 爾
nanzi 汝
nanzi 爾
nao 猶
nara 楢
nari 形
nashi 梨
nasi 梨
nata 鉈
natsu 夏
natsu 納
natsume 枣
natu 夏
natu 納
natume 枣
nawa 縄
nazo 謎
nazuna 薺
negai 願
negi 葱
negura 絒
nei 寧
neko 猫
nen 年
nen 念
nen 然
nen 燃
nen 粘
netsu 熱
netu 熱
nezuko 絔
nezumi 鼠
ni 二
ni 仁
ni 児
ni 尼
ni 弐
ni 荷
nibe 絫
nichi 日
nii 新
niji 虹
niji 螺
nikawa 膠
niku 肉
nin 人
nin 仁
nin 任
nin 刃
nin 妊
nin 忍
nin 認
nioi 匂
nira 韮
nire 榆
nise 偽
nishi 西
nishiki 錦
nishin 鯡
nishin 鰊
nisi 西
nisiki 錦
nisin 鯡
nisin 鰊
niti 日
niwa 庭
niwaka 俄
niwatori 鶏
nizi 虹
nizi 螺
no 野
nobori 幟
nodo 喉
noki 軒
noko 鋸
nokogiri 鋸
nomi 蚤
nomi 鑿
nori 法
nori 糊
nou 悩
nou 濃
nou 納
nou 能
nou 脳
nou 膿
nou 農
nozoku 覗
nu 怒
nuka 糠
nuki 貫
numa 沼
nuno 布
nuri 塗
nushi 主
nusi 主
nyaku 若
nyo 如
nyou 女
nyou 尿
nyuu 乳
nyuu 入
nyuu 柔
o 和
o 小
o 尾
o 御
o 悪
o 汚
o 緒
oboro 朧
ochi 越
ogi 荻
oi 甥
oka 丘
oke 桶
oki 沖
okina 翁
okite 掟
oku 億
oku 奥
oku 屋
oku 憶
omo 面
omomuki 趣
on 御
on 怨
on 恩
on 温
on 穏
on 遠
on 陰
on 隠
on 音
oni 鬼
onna 女
ono 斧
onoono 各
onore 己
oo 大
ookami 狼
ooyake 公
oozato 阝
ore 俺
ori 檻
ori 澱
oroshi 卸
orosi 卸
osa 筬
oshi 唖
osi 唖
osore 虞
osu 雄
oti 越
otoko 男
otouto 弟
otsu 乙
otsu 越
otto 夫
otu 乙
otu 越
ou 凹
ou 央
ou 奥
ou 往
ou 応
ou 押
ou 桜
ou 横
ou 欧
ou 殴
ou 王
ou 皇
ou 翁
ou 黄
ougi 扇
oya 親
ra 等
ra 羅
ra 裸
rachi 埒
rai 来
rai 瀬
rai 礼
rai 雷
rai 頼
raku 楽
raku 絡
raku 落
raku 酪
ran 乱
ran 卵
ran 嵐
ran 欄
ran 濫
ran 蘭
ran 覧
rati 埒
rei 令
rei 例
rei 冷
rei 励
rei 戻
rei 礼
rei 鈴
rei 隸
rei 零
rei 霊
rei 麗
rei 齢
reki 暦
reki 歴
reki 絨
ren 廉
ren 恋
ren 練
ren 連
ren 錬
retsu 列
retsu 劣
retsu 烈
retsu 裂
retu 列
retu 劣
retu 烈
retu 裂
ri 利
ri 吏
ri 履
ri 理
ri 痢
ri 裏
ri 里
ri 離
richi 律
riki 力
riku 六
riku 陸
rin 倫
rin 厘
rin 林
rin 磷
rin 臨
rin 輪
rin 鈴
rin 隣
riti 律
ritsu 律
ritsu 率
ritsu 立
ritu 律
ritu 率
ritu 立
ro 櫓
ro 炉
ro 艫
ro 路
ro 露
roku 六
roku 緑
roku 録
ron 論
rou 労
rou 廊
rou 朗
rou 楼
rou 浪
rou 漏
rou 牢
rou 籠
rou 老
rou 郎
rou 鄾
rou 露
ru 流
ru 留
rui 塁
rui 涙
rui 累
rui 類
rumata 殳
ryaku 略
ryo 慮
ryo 旅
ryo 虜
ryoku 力
ryoku 緑
ryou 両
ryou 了
ryou 令
ryou 僚
ryou 寮
ryou 料
ryou 涼
ryou 漁
ryou 猟
ryou 療
ryou 稜
ryou 糧
ryou 良
ryou 量
ryou 陵
ryou 霊
ryou 領
ryuu 柳
ryuu 流
ryuu 留
ryuu 硫
ryuu 立
ryuu 竜
ryuu 粒
ryuu 隆
sa 佐
sa 作
sa 再
sa 唆
sa 左
sa 差
sa 早
sa 査
sa 砂
sa 詐
sa 鎖
saba 鯖
sabi 寂
sabi 錆
sachi 幸
sai 催
sai 債
sai 再
sai 切
sai 塞
sai 妻
sai 宰
sai 彩
sai 才
sai 採
sai 斎
sai 最
sai 栽
sai 歳
sai 済
sai 災
sai 犀
sai 砕
sai 祭
sai 細
sai 菜
sai 裁
sai 西
sai 財
sai 賽
sai 載
sai 際
saji 匙
saka 坂
sakai 境
sakazuki 杯
sake 酒
sake 鮭
saki 先
saki 崎
saku 作
saku 冊
saku 削
saku 搾
saku 昨
saku 朔
saku 柵
saku 策
saku 索
saku 酢
saku 錯
sakura 桜
same 鮫
samurai 侍
san 三
san 傘
san 参
san 山
san 惨
san 散
san 桟
san 産
san 算
san 蚕
san 賛
san 酸
sanagi 蛹
sane 実
sao 竿
sara 皿
saru 猿
sasa 笹
sasori 蝎
sati 幸
sato 里
satsu 冊
satsu 刷
satsu 察
satsu 撮
satsu 擦
satsu 早
satsu 札
satsu 殺
satu 冊
satu 刷
satu 察
satu 撮
satu 擦
satu 早
satu 札
satu 殺
sawa 沢
saya 荚
saya 鞘
sazi 匙
se 世
se 施
se 瀬
se 背
segare 伜
sei 世
sei 井
sei 凄
sei 制
sei 勢
sei 声
sei 姓
sei 婿
sei 征
sei 性
sei 成
sei 政
sei 整
sei 斉
sei 星
sei 晴
sei 正
sei 歳
sei 清
sei 牲
sei 生
sei 盛
sei 省
sei 精
sei 聖
sei 背
sei 製
sei 西
sei 誓
sei 誠
sei 請
sei 逝
sei 青
sei 静
seki 咳
seki 夕
seki 寂
seki 尺
seki 席
seki 惜
seki 斥
seki 昔
seki 析
seki 石
seki 積
seki 籍
seki 績
seki 脊
seki 責
seki 赤
seki 跡
seki 関
seki 隻
semi 蝉
sen 仙
sen 先
sen 剪
sen 千
sen 占
sen 宣
sen 専
sen 尖
sen 川
sen 戦
sen 扇
sen 旋
sen 染
sen 栓
sen 泉
sen 洗
sen 浅
sen 潜
sen 穿
sen 線
sen 繊
sen 腺
sen 船
sen 薦
sen 践
sen 遷
sen 選
sen 銑
sen 銭
sen 閃
sen 鮮
setsu 切
setsu 折
setsu 拙
setsu 接
setsu 摂
setsu 殺
setsu 洩
setsu 節
setsu 設
setsu 説
setsu 軥
setsu 雪
setu 切
setu 折
setu 拙
setu 接
setu 摂
setu 殺
setu 洩
setu 節
setu 設
setu 説
setu 軥
setu 雪
sha 写
sha 射
sha 捨
sha 斜
sha 煮
sha 砂
sha 社
sha 者
sha 舎
sha 謝
sha 赦
sha 車
sha 遮
shachi 鯱
shaku 借
shaku 勺
shaku 尺
shaku 昔
shaku 爵
shaku 癪
shaku 石
shaku 赤
shaku 酌
shaku 釈
shi 仕
shi 伺
shi 使
shi 刺
shi 史
shi 司
shi 嗣
shi 四
shi 士
shi 姉
shi 始
shi 姿
shi 子
shi 市
shi 師
shi 弛
shi 志
shi 思
shi 指
shi 支
shi 施
shi 旨
shi 枝
shi 次
shi 止
shi 歯
shi 死
shi 氏
shi 矢
shi 砥
shi 示
shi 祉
shi 私
shi 糸
shi 紙
shi 紫
shi 肢
shi 脂
shi 自
shi 至
shi 視
shi 詞
shi 試
shi 詩
shi 誌
shi 諮
shi 資
shi 賜
shi 雌
shi 飼
shiba 柴
shiba 芝
shibashiba 屡
shibe 秸
shibe 蕊
shibe 蕋
shibu 渋
shichi 七
shichi 質
shigarami 柵
shigi 鴫
shigi 鷸
shii 椎
shii 殺
shiina 粃
shijimi 蜆
shika 鹿
shikabane 屍
shiki 式
shiki 織
shiki 色
shiki 識
shikii 閾
shima 島
shima 縞
shimo 霜
shin 伸
shin 侵
shin 信
shin 唇
shin 娠
shin 寝
shin 審
shin 心
shin 慎
shin 振
shin 新
shin 森
shin 津
shin 浸
shin 深
shin 申
shin 真
shin 矧
shin 神
shin 紳
shin 臣
shin 舿
shin 芯
shin 薪
shin 親
shin 診
shin 請
shin 辛
shin 進
shin 針
shin 震
shina 品
shingari 殿
shino 篠
shinobu 忍
shio 塩
shio 潮
shirami 虱
shiri 尻
shiro 城
shiro 白
shiru 汁
shirube 導
shirushi 印
shishi 猪
shita 下
shita 簧
shita 舌
shitomi 蔀
shitone 茵
shitsu 叱
shitsu 執
shitsu 失
shitsu 室
shitsu 湿
shitsu 漆
shitsu 疾
shitsu 質
shitsuke 躾
shiwa 皺
shiwabuki 咳
shizuku 滴
shizuku 雫
sho 処
sho 初
sho 庶
sho 所
sho 暑
sho 書
sho 緒
sho 署
sho 諸
shoku 嘱
shoku 植
shoku 殖
shoku 織
shoku 職
shoku 色
shoku 触
shoku 食
shoku 飾
shou 上
shou 井
shou 傷
shou 像
shou 償
shou 勝
shou 匠
shou 升
shou 召
shou 唱
shou 商
shou 声
shou 奨
shou 姓
shou 宵
shou 将
shou 小
shou 少
shou 尚
shou 床
shou 彰
shou 従
shou 性
shou 承
shou 抄
shou 招
shou 掌
shou 政
shou 昇
shou 星
shou 晶
shou 松
shou 正
shou 沼
shou 消
shou 清
shou 渉
shou 焦
shou 焼
shou 照
shou 生
shou 症
shou 盛
shou 相
shou 省
shou 硝
shou 礁
shou 祥
shou 章
shou 笑
shou 笙
shou 粧
shou 精
shou 紹
shou 聨
shou 肖
shou 臷
shou 荘
shou 衝
shou 訟
shou 証
shou 詔
shou 詳
shou 象
shou 賞
shou 鐘
shou 障
shou 青
shouga 薑
shu 主
shu 修
shu 取
shu 守
shu 手
shu 朱
shu 殊
shu 珠
shu 種
shu 衆
shu 趣
shu 輸
shu 酒
shu 首
shuku 叔
shuku 宿
shuku 淑
shuku 祝
shuku 粛
shuku 縮
shun 俊
shun 春
shun 瞬
shun 竣
shutsu 出
shuu 修
shuu 収
shuu 周
shuu 囚
shuu 執
shuu 宗
shuu 就
shuu 州
shuu 愁
shuu 拾
shuu 祝
shuu 秀
shuu 秋
shuu 終
shuu 習
shuu 聚
shuu 臭
shuu 舟
shuu 衆
shuu 袖
shuu 襲
shuu 蹴
shuu 週
shuu 酬
shuu 醜
shuu 集
shuuto 舅
shuutome 姑
si 仕
si 伺
si 使
si 刺
si 史
si 司
si 嗣
si 四
si 士
si 姉
si 始
si 姿
si 子
si 市
si 師
si 弛
si 志
si 思
si 指
si 支
si 施
si 旨
si 枝
si 次
si 止
si 歯
si 死
si 氏
si 矢
si 砥
si 示
si 祉
si 私
si 糸
si 紙
si 紫
si 肢
si 脂
si 自
si 至
si 視
si 詞
si 試
si 詩
si 誌
si 諮
si 資
si 賜
si 雌
si 飼
siba 柴
siba 芝
sibasiba 屡
sibe 秸
sibe 蕊
sibe 蕋
sibu 渋
sigarami 柵
sigi 鴫
sigi 鷸
sii 椎
sii 殺
siina 粃
sika 鹿
sikabane 屍
siki 式
siki 織
siki 色
siki 識
sikii 閾
sima 島
sima 縞
simo 霜
sin 伸
sin 侵
sin 信
sin 唇
sin 娠
sin 寝
sin 審
sin 心
sin 慎
sin 振
sin 新
sin 森
sin 津
sin 浸
sin 深
sin 申
sin 真
sin 矧
sin 神
sin 紳
sin 臣
sin 舿
sin 芯
sin 薪
sin 親
sin 診
sin 請
sin 辛
sin 進
sin 針
sin 震
sina 品
singari 殿
sino 篠
sinobu 忍
sio 塩
sio 潮
sirami 虱
siri 尻
siro 城
siro 白
siru 汁
sirube 導
sirusi 印
sisi 猪
sita 下
sita 簧
sita 舌
siti 七
siti 質
sitomi 蔀
sitone 茵
situ 叱
situ 執
situ 失
situ 室
situ 湿
situ 漆
situ 疾
situ 質
situke 躾
siwa 皺
siwabuki 咳
sizimi 蜆
sizuku 滴
sizuku 雫
so 塑
so 想
so 措
so 狙
so 疎
so 礎
so 祖
so 租
so 粗
so 素
so 組
so 訴
so 阻
soba 側
soba 傍
soba 岨
soba 稜
sode 袖
soko 底
soku 促
soku 側
soku 則
soku 即
soku 塞
soku 息
soku 束
soku 測
soku 足
soku 速
somosomo 抑
son 存
son 孫
son 尊
son 損
son 村
sono 園
sori 撬
soto 外
sotsu 卒
sotsu 率
sotu 卒
sotu 率
sou 争
sou 倉
sou 僧
sou 創
sou 双
sou 喪
sou 壮
sou 奏
sou 宗
sou 層
sou 巣
sou 想
sou 挿
sou 掃
sou 搜
sou 操
sou 早
sou 曹
sou 桑
sou 槽
sou 漕
sou 燥
sou 相
sou 窓
sou 筝
sou 総
sou 聨
sou 艘
sou 草
sou 荘
sou 葬
sou 蒼
sou 藻
sou 袽
sou 贈
sou 走
sou 送
sou 遭
sou 霜
su 主
su 子
su 守
su 州
su 巣
su 朱
su 素
su 酢
sube 術
sudare 簾
sue 末
suga 菅
sugame 眇
sugata 姿
suge 菅
sugi 杉
sui 出
sui 吹
sui 垂
sui 帥
sui 推
sui 水
sui 炊
sui 睡
sui 穂
sui 粋
sui 衰
sui 遂
sui 酔
sui 錐
sui 錘
suji 筋
suki 犁
suki 隙
sumi 墨
sumi 炭
sumi 隅
sumire 菫
sun 寸
suna 砂
sune 脛
sune 臑
suppon 鼈
surume 鯣
susa 苆
suso 裾
susu 煤
susuki 薄
suu 崇
suu 数
suu 枢
suzi 筋
suzu 錫
suzuki 鱸
suzume 雀
suzuri 硯
sya 写
sya 射
sya 捨
sya 斜
sya 煮
sya 砂
sya 社
sya 者
sya 舎
sya 謝
sya 赦
sya 車
sya 遮
syaku 借
syaku 勺
syaku 尺
syaku 昔
syaku 爵
syaku 癪
syaku 石
syaku 赤
syaku 酌
syaku 釈
syati 鯱
syo 処
syo 初
syo 庶
syo 所
syo 暑
syo 書
syo 緒
syo 署
syo 諸
syoku 嘱
syoku 植
syoku 殖
syoku 織
syoku 職
syoku 色
syoku 触
syoku 食
syoku 飾
syou 上
syou 井
syou 傷
syou 像
syou 償
syou 勝
syou 匠
syou 升
syou 召
syou 唱
syou 商
syou 声
syou 奨
syou 姓
syou 宵
syou 将
syou 小
syou 少
syou 尚
syou 床
syou 彰
syou 従
syou 性
syou 承
syou 抄
syou 招
syou 掌
syou 政
syou 昇
syou 星
syou 晶
syou 松
syou 正
syou 沼
syou 消
syou 清
syou 渉
syou 焦
syou 焼
syou 照
syou 生
syou 症
syou 盛
syou 相
syou 省
syou 硝
syou 礁
syou 祥
syou 章
syou 笑
syou 笙
syou 粧
syou 精
syou 紹
syou 聨
syou 肖
syou 臷
syou 荘
syou 衝
syou 訟
syou 証
syou 詔
syou 詳
syou 象
syou 賞
syou 鐘
syou 障
syou 青
syouga 薑
syu 主
syu 修
syu 取
syu 守
syu 手
syu 朱
syu 殊
syu 珠
syu 種
syu 衆
syu 趣
syu 輸
syu 酒
syu 首
syuku 叔
syuku 宿
syuku 淑
syuku 祝
syuku 粛
syuku 縮
syun 俊
syun 春
syun 瞬
syun 竣
syutu 出
syuu 修
syuu 収
syuu 周
syuu 囚
syuu 執
syuu 宗
syuu 就
syuu 州
syuu 愁
syuu 拾
syuu 祝
syuu 秀
syuu 秋
syuu 終
syuu 習
syuu 聚
syuu 臭
syuu 舟
syuu 衆
syuu 袖
syuu 襲
syuu 蹴
syuu 週
syuu 酬
syuu 醜
syuu 集
syuuto 舅
syuutome 姑
ta 他
ta 多
ta 太
ta 田
tabi 度
tabi 旅
tachi 質
tachi 達
tada 只
tada 唯
tada 徒
tade 蓼
taga 箍
tagane 鏨
tagane 鑚
tagui 比
tagui 類
tai 代
tai 体
tai 台
tai 大
tai 太
tai 対
tai 帝
tai 帯
tai 待
tai 怠
tai 態
tai 戴
tai 替
tai 泰
tai 滞
tai 耐
tai 胎
tai 袋
tai 貸
tai 退
tai 逮
tai 隊
tai 鯛
taka 高
taka 鷹
takara 宝
take 丈
take 岳
take 竹
take 茸
takenawa 酣
taki 滝
takigi 薪
tako 凧
tako 蛸
taku 卓
taku 宅
taku 度
taku 択
taku 拓
taku 沢
taku 濯
taku 託
tama 玉
tama 球
tama 霊
tamago 卵
tamamono 賜
tamashii 魂
tamasii 魂
tame 為
tameshi 例
tamesi 例
tami 民
tamoto 袂
tamuro 屯
tan 丹
tan 単
tan 反
tan 嘆
tan 壇
tan 担
tan 探
tan 旦
tan 淡
tan 炭
tan 短
tan 端
tan 耽
tan 胆
tan 誕
tan 鍛
tana 棚
tanagokoro 掌
tane 種
tani 谷
tanuki 狸
tara 鳕
tarai 盥
taru 樽
tasuki 腇
tatami 畳
tatari 崇
tate 盾
tate 縦
tati 質
tati 達
tatsu 竜
tatsu 達
tatu 竜
tatu 達
tawara 俵
te 手
tei 丁
tei 亭
tei 低
tei 体
tei 停
tei 偵
tei 呈
tei 堤
tei 定
tei 帝
tei 底
tei 庭
tei 廷
tei 弟
tei 抵
tei 提
tei 程
tei 締
tei 艇
tei 訂
tei 貞
tei 蹄
tei 逓
tei 邸
teki 摘
teki 敵
teki 滴
teki 的
teki 適
ten 典
ten 天
ten 展
ten 店
ten 殿
ten 添
ten 点
ten 貂
ten 転
tera 寺
tetsu 哲
tetsu 徹
tetsu 撤
tetsu 轍
tetsu 迭
tetsu 鉄
tetu 哲
tetu 徹
tetu 撤
tetu 轍
tetu 迭
tetu 鉄
ti 値
ti 地
ti 恥
ti 池
ti 治
ti 痴
ti 知
ti 稚
ti 置
ti 致
ti 血
ti 質
ti 遅
tikara 力
tiku 畜
tiku 竹
tiku 築
tiku 蓄
tiku 逐
timaki 粽
timata 巷
tin 亭
tin 伝
tin 朕
tin 沈
tin 狆
tin 珍
tin 賃
tin 鎮
tin 陳
tinba 跛
tiri 塵
titi 乳
titi 父
titu 秩
titu 窒
to 吐
to 図
to 土
to 塗
to 度
to 徒
to 戸
to 斗
to 渡
to 納
to 途
to 都
to 頭
tobari 帳
tobi 鳶
tobira 扉
tochi 栃
tochi 橡
todoke 届
toga 咎
togame 咎
toge 刺
toge 棘
toi 問
toi 樋
toki 斎
toki 時
toki 鸨
tokoro 所
toku 匿
toku 得
toku 徳
toku 特
toku 督
toku 篤
toku 読
toma 苫
tomi 富
tomo 伴
tomo 共
tomo 友
tomoduna 纜
tomoe 巴
tomozuna 纜
ton 団
ton 屯
ton 豚
ton 頓
tonari 隣
toneriko 梣
tono 殿
too 十
tora 虎
tori 鳥
toride 砦
toriko 虜
toro 瀞
toshi 年
tosi 年
toti 栃
toti 橡
totsu 凸
totsu 突
totu 凸
totu 突
tou 倒
tou 党
tou 冬
tou 凍
tou 刀
tou 到
tou 唐
tou 塔
tou 島
tou 当
tou 悼
tou 投
tou 搭
tou 東
tou 桃
tou 棟
tou 湯
tou 灯
tou 痘
tou 盗
tou 稲
tou 等
tou 筒
tou 答
tou 糖
tou 統
tou 薹
tou 藤
tou 討
tou 読
tou 謄
tou 豆
tou 踏
tou 逃
tou 透
tou 闘
tou 陶
tou 頭
tou 騰
touge 峠
tsu 津
tsu 通
tsu 都
tsuba 唾
tsuba 鍔
tsuba 鐔
tsubaki 椿
tsubame 燕
tsubasa 翼
tsubo 坪
tsubo 壺
tsubomi 莟
tsubomi 蕾
tsubu 粒
tsubute 臸
tsuchi 土
tsuchi 槌
tsue 杖
tsuga 栂
tsugai 番
tsugi 次
tsugumi 鶫
tsui 墜
tsui 対
tsui 終
tsui 追
tsuji 辻
tsuka 塚
tsuka 束
tsuka 柄
tsuki 搗
tsuki 月
tsukue 机
tsukuzuku 熟
tsuma 妻
tsuma 端
tsuma 褄
tsume 爪
tsumi 罪
tsumugi 紬
tsuna 綱
tsunbo 聾
tsune 常
tsuratsura 熟
tsure 連
tsuru 弦
tsuru 蔓
tsuru 鶴
tsurubami 橡
tsurugi 剣
tsuta 蔦
tsute 伝
tsuto 苞
tsutsu 筒
tsutsumi 堤
tsuu 痛
tsuu 通
tsuwamono 兵
tsuya 艶
tsuya 艷
tsuyu 汁
tsuyu 液
tsuyu 露
tsuzumi 鼓
tsuzura 葛
tu 津
tu 通
tu 都
tuba 唾
tuba 鍔
tuba 鐔
tubaki 椿
tubame 燕
tubasa 翼
tubo 坪
tubo 壺
tubomi 莟
tubomi 蕾
tubu 粒
tubute 臸
tudumi 鼓
tudura 葛
tue 杖
tuga 栂
tugai 番
tugi 次
tugumi 鶫
tui 墜
tui 対
tui 終
tui 追
tuka 塚
tuka 束
tuka 柄
tuki 搗
tuki 月
tukuduku 熟
tukue 机
tuma 妻
tuma 端
tuma 褄
tume 爪
tumi 罪
tumugi 紬
tuna 綱
tunbo 聾
tune 常
turatura 熟
ture 連
turu 弦
turu 蔓
turu 鶴
turubami 橡
turugi 剣
tuta 蔦
tute 伝
tuti 土
tuti 槌
tuto 苞
tutu 筒
tutumi 堤
tuu 痛
tuu 通
tuwamono 兵
tuya 艶
tuya 艷
tuyu 汁
tuyu 液
tuyu 露
tuzi 辻
tya 茶
tyaku 嫡
tyaku 着
tyo 緒
tyo 苧
tyo 著
tyo 貯
tyoku 勅
tyoku 直
tyou 丁
tyou 兆
tyou 吊
tyou 嘲
tyou 帳
tyou 庁
tyou 弔
tyou 張
tyou 彫
tyou 徴
tyou 懲
tyou 挑
tyou 挺
tyou 朝
tyou 梃
tyou 潮
tyou 澄
tyou 町
tyou 眺
tyou 聴
tyou 脹
tyou 腸
tyou 蝶
tyou 調
tyou 貼
tyou 超
tyou 跳
tyou 重
tyou 釣
tyou 長
tyou 頂
tyou 鳥
tyuu 中
tyuu 仲
tyuu 宙
tyuu 忠
tyuu 抽
tyuu 昼
tyuu 柱
tyuu 沖
tyuu 注
tyuu 虫
tyuu 衷
tyuu 鋳
tyuu 駐
u 卯
u 右
u 宇
u 有
u 羽
u 雨
u 鵜
ubu 初
uchi 内
ude 腕
ue 上
ugai 嗽
uguisu 鶯
ui 初
uji 氏
uji 蛆
uma 午
uma 馬
ume 梅
umi 海
umi 膿
un 運
un 雲
unagi 鰻
unaji 項
unazi 項
une 畝
uo 魚
ura 浦
ura 裏
uri 瓜
uroko 鱗
urushi 漆
urusi 漆
usagi 兎
ushi 丑
ushi 牛
ushio 潮
usi 丑
usi 牛
usio 潮
uso 嘘
uso 鷽
usu 臼
usu 薄
uta 歌
utai 謡
utena 台
uti 内
utsubo 靫
utsuro 空
utsutsu 現
utsuwa 器
utubo 靫
uturo 空
ututu 現
utuwa 器
uwabami 蠎
uwasa 噂
uzi 氏
uzi 蛆
uzu 渦
uzura 鶉
wa 和
wa 把
wa 話
wa 輪
wadara 轍
wai 賄
wake 訳
waki 脇
waki 腋
waku 惑
waku 枠
wan 椀
wan 湾
wan 碗
wan 腕
wana 罠
wani 鰐
wara 藁
warabe 童
warabi 蕨
ware 我
wari 割
washi 鷲
wasi 鷲
wata 綿
watakushi 私
watakusi 私
watashi 私
watasi 私
waza 技
waza 業
ya 夜
ya 矢
ya 輻
ya 野
yabu 藪
yado 宿
yagura 櫓
yaiba 刃
yakko 奴
yaku 厄
yaku 妬
yaku 役
yaku 疫
yaku 益
yaku 約
yaku 薬
yaku 訳
yaku 躍
yama 山
yamai 病
yami 闇
yana 梁
yanagi 柳
yani 脂
yari 槍
yashiro 社
yasiro 社
yasuri 鑢
yawara 柔
yaya 稍
yo 与
yo 世
yo 予
yo 余
yo 夜
yo 誉
yo 預
yodare 涎
yodo 淀
yoi 宵
yoko 横
yoku 抑
yoku 欲
yoku 沃
yoku 浴
yoku 翌
yoku 翼
yome 嫁
yomogi 蓬
yoroi 鎧
yorozu 万
yoshi 由
yoshi 葦
yoshi 葭
yoshi 蘆
yoshimi 誼
yosi 由
yosi 葦
yosi 葭
yosi 蘆
yosimi 誼
you 咽
you 妖
you 容
you 幼
you 庸
you 揚
you 揺
you 擁
you 曜
you 栄
you 洋
you 溶
you 用
you 痈
you 窯
you 羊
you 腰
you 葉
you 要
you 謡
you 踊
you 陽
you 養
yowai 齢
yu 愉
yu 油
yu 湯
yu 由
yu 癒
yu 諭
yu 輸
yu 遊
yubi 指
yue 故
yui 唯
yui 由
yui 遺
yukari 縁
yuki 雪
yume 努
yume 夢
yumi 弓
yuu 優
yuu 勇
yuu 友
yuu 右
yuu 幽
yuu 悠
yuu 憂
yuu 有
yuu 油
yuu 猶
yuu 由
yuu 融
yuu 裕
yuu 誘
yuu 遊
yuu 郵
yuu 雄
za 座
zai 剤
zai 在
zai 材
zai 罪
zai 財
zan 惨
zan 斬
zan 暫
zan 残
zaru 笊
zatsu 雑
zatu 雑
ze 是
zei 税
zei 説
zei 贅
zen 全
zen 前
zen 善
zen 喘
zen 漸
zen 然
zen 禅
zen 禪
zen 繕
zen 纏
zen 膳
zeni 銭
zetsu 絶
zetsu 舌
zetu 絶
zetu 舌
zi 事
zi 仕
zi 似
zi 侍
zi 児
zi 地
zi 士
zi 字
zi 寺
zi 慈
zi 持
zi 時
zi 次
zi 治
zi 滋
zi 璽
zi 痔
zi 磁
zi 示
zi 耳
zi 自
zi 辞
zi 除
zi 餌
zika 直
ziki 直
ziku 軸
zin 人
zin 仁
zin 刃
zin 塵
zin 尋
zin 尽
zin 甚
zin 神
zin 腎
zin 臣
zin 迅
zin 陣
zin 靱
zitu 実
zitu 日
zizii 爺
zoku 俗
zoku 属
zoku 族
zoku 続
zoku 賊
zon 存
zou 像
zou 増
zou 憎
zou 臓
zou 蔵
zou 象
zou 贈
zou 造
zou 雑
zu 事
zu 図
zu 珠
zu 豆
zu 頭
zui 瑞
zui 絓
zui 萣
zui 随
zuku 銑
zuri 坪
zuri 摩
zya 蛇
zya 邪
zyaku 寂
zyaku 弱
zyaku 着
zyaku 若
zyo 助
zyo 叙
zyo 女
zyo 如
zyo 序
zyo 徐
zyo 除
zyoku 辱
zyou 丈
zyou 上
zyou 乗
zyou 冗
zyou 剰
zyou 城
zyou 場
zyou 壌
zyou 嬢
zyou 定
zyou 常
zyou 情
zyou 成
zyou 条
zyou 浄
zyou 状
zyou 畳
zyou 縄
zyou 蒸
zyou 譲
zyou 醸
zyou 錠
zyou 静
zyu 儒
zyu 十
zyu 受
zyu 呪
zyu 寿
zyu 就
zyu 従
zyu 授
zyu 樹
zyu 狩
zyu 珠
zyu 需
zyuku 塾
zyuku 熟
zyun 准
zyun 巡
zyun 循
zyun 旬
zyun 殉
zyun 準
zyun 潤
zyun 盾
zyun 純
zyun 遵
zyun 順
zyutu 術
zyutu 述
zyuu 中
zyuu 住
zyuu 充
zyuu 十
zyuu 従
zyuu 拾
zyuu 柔
zyuu 汁
zyuu 渋
zyuu 獣
zyuu 縦
zyuu 聚
zyuu 重
zyuu 銃
