a 亜
gi 宜
gi 戯
gi 技
gi 擬
gi 欺
gi 犧
gi 疑
gi 義
gi 議
gin 吟
gin 銀
go 互
go 五
go 午
go 后
go 呉
go 娯
go 後
go 御
go 悟
go 期
go 牛
go 碁
go 語
go 誤
go 護
goku 極
goku 獄
gomi 芥
gon 勤
gon 厳
gon 権
gon 欣
gon 琴
gon 言
gote 鏝
goto 毎
gou 剛
gou 号
gou 合
gou 強
gou 拷
gou 業
gou 毫
gou 豪
gu 供
gu 具
gu 愚
gu 旧
gun 群
gun 軍
gun 郡
guu 偶
guu 宮
guu 遇
guu 隅
gyaku 虐
gyaku 逆
gyo 御
gyo 漁
gyo 魚
gyoku 玉
gyou 仰
gyou 凝
gyou 形
gyou 暁
gyou 業
gyou 行
gyuu 牛
ha 刃
ha 把
ha 播
ha 歯
ha 波
ha 派
ha 破
ha 端
ha 葉
ha 覇
haba 幅
hachi 八
hachi 蜂
hachi 鉢
hada 肌
hada 膚
hadaka 裸
hadashi 跣
hadasi 跣
hagane 鋼
hage 禿
hagi 接
hagi 荻
haha 母
hai 佩
hai 俳
hai 廃
hai 拝
hai 排
hai 敗
hai 杯
hai 肺
hai 背
hai 胚
hai 軮
hai 輩
hai 配
haji 恥
haka 墓
hakarigoto 謀
hako 箱
haku 伯
haku 剥
haku 博
haku 帛
haku 拍
haku 泊
haku 白
haku 箔
haku 舶
haku 薄
haku 迫
haku 駁
haku 魄
hama 浜
hamaguri 蛤
han 伴
han 凡
han 判
han 半
han 反
han 叛
han 坂
han 帆
han 搬
han 播
han 斑
han 板
han 汎
han 煩
han 版
han 犯
han 班
han 畔
han 範
han 繁
han 般
han 藩
han 販
han 阪
han 頒
han 飯
hana 花
hana 鼻
hanamuke 贐
hanamuke 餞
hanashi 話
hanasi 話
hane 羽
hara 原
hara 腹
harawata 腸
hare 晴
hari 梁
hari 針
haru 春
hasami 挾
hasami 鋏
hashi 橋
hashi 箸
hashike 艀
hashira 柱
hashita 端
hasi 橋
hasi 箸
hasike 艀
hasira 柱
hasita 端
hasu 斜
hasu 蓮
hata 側
hata 旗
hata 機
hatake 畑
hatake 疥
hati 八
hati 蜂
hati 鉢
hato 鳩
hatsu 初
hatsu 撥
hatsu 法
hatsu 発
hatsu 鉢
hatsu 髪
hatu 初
hatu 撥
hatu 法
hatu 発
hatu 鉢
hatu 髪
haya 早
hayashi 林
hayasi 林
hazi 恥
hazu 筈
he 屁
hei 丙
hei 並
hei 併
hei 兵
hei 塀
hei 幣
hei 平
hei 弊
hei 柄
