油入り開閉器 油入開閉器
油揚げ 油揚
泣き虫 泣虫
泣き言 泣言
泣き面 泣面
浮き世 浮世
浮き名 浮名
浮き彫り 浮彫
浮き腰 浮腰
浮き草 浮草
浮き袋 浮袋
浮き足 浮足
浮き身 浮身
浮き雲 浮雲
消し炭 消炭
添え物 添物
溝付き頭 溝付頭
潮吹き 潮吹
火祭り 火祭
焼き中子 焼中子
焼き印 焼印
焼き型 焼型
焼き型砂 焼型砂
焼き場 焼場
焼き太刀 焼太刀
焼き心 焼心
焼き枠 焼枠
焼き物 焼物
焼き玉 焼玉
焼き玉機関 焼玉機関
焼き玉発動機 焼玉発動機
焼き畑 焼畑
焼け石 焼石
焼け跡 焼跡
焼け野 焼野
焼き飯 焼飯
焼き鳥 焼鳥
煮干し 煮干
物差し 物差
物干し 物干
物持ち 物持
物置き 物置
犬死に 犬死
狩り 狩
狩り場 狩場
独り言 独言
玉突き 玉突
生き仏 生仏
生き字引 生字引
生き恥 生恥
田植え 田植
申し出 申出
申し分 申分
申し訳 申訳
町並み 町並
盛り切り 盛切
盛り果子 盛果子
相打ち 相打
眠り目地 眠目地
矢立て 矢立
石突き 石突
磁気吹消し避雷器 磁気吹消避雷器
祭り 祭
福引き 福引
秋晴れ 秋晴
移り気 移気
程合い 程合
積み木 積木
積み荷 積荷
空き地 空地
空き家 空家
空き巣 空巣
突き指 突指
窓掛け 窓掛
立て向き溶接 立向溶接
立て役者 立役者
立ち往生 立往生
立ち木 立木
立て札 立札
筋合い 筋合
筋書き 筋書
答え 答
箱入り 箱入
紅葉狩り 紅葉狩
紋付き 紋付
紋切り型 紋切型
素焼き 素焼
組み版 組版
続き柄 続柄
線引き 線引
締め切り 締切
編み地 編地
編み幅 編幅
編み機 編機
編み目 編目
編み針 編針
練り物 練物
練り絹 練絹
縫い代 縫代
縫い物 縫物
縫い目 縫目
縫い糸 縫糸
縫い針 縫針
繰り言 繰言
缶詰め 缶詰
置き手紙 置手紙
羽交い 羽交
耳鳴り 耳鳴
聴力測定法 聴力測定
肩凝り 肩凝
肩書き 肩書
胴締め 胴締
腰掛け 腰掛
船体中央部 船体中央
船着き場 船着場
舿請け 舿請
花曇り 花曇
花祭り 花祭
花立て 花立
若年寄り 若年寄
若死に 若死
荒れ模咽 荒模咽
落ち武者 落武者
落ち葉 落葉
裏書き 裏書
襟卷き 襟卷
見合い 見合
見習い 見習
見舞い 見舞
触れ太鼓 触太鼓
言い分 言分
言葉遣い 言葉遣
言い訳 言訳
許容不釣り合い 許容不釣合
詰め所 詰所
詰め腹 詰腹
読み方 読方
読み物 読物
譲り葉 譲葉
負け星 負星
買い上げ 買上
買い手 買手
買い物 買物
買い言葉 買言葉
貸し主 貸主
貸し賃 貸賃
貸し間 貸間
資源割付け 資源割付
足並み 足並
足踏み 足踏
足踏み弁 足踏弁
足踏み揚水車 足踏揚水車
足踏み操作弁 足踏操作弁
足踏み旋盤 足踏旋盤
足踏み織機 足踏織機
跡継ぎ 跡継
跳ね橋 跳橋
跳び箱 跳箱
踏み台 踏台
踏み石 踏石
軒並み 軒並
軴負け 軴負
農業機械用内燃機関 農業用機関
かえりてん 返り点
かえりてん 返点
おいばね 追い羽根
おいばね 追羽根
おいごえ 追い肥
おいごえ 追肥
おいかぜ 追い風
おいかぜ 追風
そうでんそんしつ 送電損失
そうでんそん 送電損
にげこうじょ 逃げ口上
にげこうじょ 逃口上
にげごし 逃げ腰
にげごし 逃腰
にげあし 逃げ足
にげあし 逃足
にげみち 逃げ道
にげみち 逃道
つれ 連れ
つれ 連
のやき 野焼き
のやき 野焼
のいしづみ 野石積み
のいしづみ 野石積
はちうえ 鉢植え
はちうえ 鉢植
いかけ 鋳掛け
いかけ 鋳掛
まがり 間借り
まがり 間借
まあい 間合い
まあい 間合
まびき 間引き
まびき 間引
まびきき 間引き機
まびきき 間引機
まがし 間貸し
まがし 間貸
あまだれ 雨垂れ
あまだれ 雨垂
くもゆき 雲行き
くもゆき 雲行
しもやけ 霜焼け
しもやけ 霜焼
ろてんぼり 露天掘り
ろてんぼり 露天掘
つゆはらい 露払い
つゆはらい 露払
あたまわり 頭割り
あたまわり 頭割
ねがい 願い
ねがい 願
とびいた 飛び板
とびいた 飛板
とびひ 飛び火
とびひ 飛火
とびいし 飛び石
とびいし 飛石
とびうお 飛び魚
とびうお 飛魚
のみしろ 飲み代
のみしろ 飲代
のみぐすり 飲み薬
のみぐすり 飲薬
かいぬし 飼い主
かいぬし 飼主
かいいぬ 飼い犬
かいいぬ 飼犬
かいば 飼い葉
かいば 飼葉
かけあし 駆け足
かけあし 駆足
ほね 骨
ほねおりぞん 骨折り損
ほねおりぞん 骨折損
ほねぐみ 骨組み
ほねぐみ 骨組
とりうちぼう 鳥打ち帽
とりうちぼう 鳥打帽
なきごえ 鳴き声
なきごえ 鳴声
なりもの 鳴り物
なりもの 鳴物
